Date,Close
2021-07-09,50.650001525878906
2021-07-12,50.720001220703125
2021-07-13,50.040000915527344
2021-07-14,47.720001220703125
2021-07-15,46.689998626708984
2021-07-16,47.380001068115234
2021-07-19,47.599998474121094
2021-07-20,48.790000915527344
2021-07-21,49.5099983215332
2021-07-22,49.95000076293945
2021-07-23,50.25
2021-07-26,50.5
2021-07-27,48.939998626708984
2021-07-28,50.2400016784668
2021-07-29,50.22999954223633
2021-07-30,49.9900016784668
2021-08-02,50.63999938964844
2021-08-03,50.2599983215332
2021-08-04,50.45000076293945
2021-08-05,50.7400016784668
2021-08-06,49.4900016784668
2021-08-09,49.5
2021-08-10,45.11000061035156
2021-08-11,45.29999923706055
2021-08-12,45.540000915527344
2021-08-13,44.189998626708984
2021-08-16,43.54999923706055
2021-08-17,43.56999969482422
2021-08-18,43.59000015258789
2021-08-19,42.459999084472656
2021-08-20,43.09000015258789
2021-08-23,44.279998779296875
2021-08-24,45.630001068115234
2021-08-25,46.45000076293945
2021-08-26,46.560001373291016
2021-08-27,48.650001525878906
2021-08-30,47.599998474121094
2021-08-31,46.86000061035156
2021-09-01,48.31999969482422
2021-09-02,48.11000061035156
2021-09-03,48.0099983215332
2021-09-07,47.119998931884766
2021-09-08,46.75
2021-09-09,46.29999923706055
2021-09-10,45.540000915527344
2021-09-13,47.56999969482422
2021-09-14,47.25
2021-09-15,47.09000015258789
2021-09-16,47.20000076293945
2021-09-17,46.93000030517578
2021-09-20,45.33000183105469
2021-09-21,45.400001525878906
2021-09-22,45.939998626708984
2021-09-23,46.189998626708984
2021-09-24,45.83000183105469
2021-09-27,45.72999954223633
2021-09-28,43.86000061035156
2021-09-29,42.97999954223633
2021-09-30,42.880001068115234
2021-10-01,43.38999938964844
2021-10-04,42.5
2021-10-05,43.90999984741211
2021-10-06,43.66999816894531
2021-10-07,45.43000030517578
